מספר מאגר,זיהוי בעל המאגר- תאגיד,שם בעל מאגר,שם המאגר,ישוב,רחוב,בית,ת.ד.,מיקוד,שרותי דיוור,סטטוס מאגר,תאריך המאגר
17,511263444,"מכבי יזמות וניהול בע""מ",נרקיס ערד אופטומטריה רמת אביב,תל אביב - יפו,קויפמן יחזקאל,2,,6801294,,מאושר,11/18/2001
321,580109254,"ילדים בסיכוי - המועצה לילד החוסה (ע""ר)",מתנדבים,תל אביב,הרוגי מלכות,11,0,6971411,כן,מאושר,12/23/2002
406,511555401,"איילת שירותי כח אדם (3000) בע""מ",משכורות,הרצליה,סוקולוב,11,,4649718,,מותלה חוב,NULL
925,512530403,"ג.מ.ס.י. גלובל מייל סנטר ישראל בע""מ",עובדים,פתח תקווה           ,נבטים,4,,4956103,,מותלה חוב,NULL
1007,500100797,משרד הבינוי והשיכון/המשרד הראשי,מודדים מוסמכים,ירושלים             ,קלרמון גנו,3,18110,9118002,,מאושר,10/25/2004
1205,0,,"מנב""ס",,,,,,,מותלה חוב,NULL
1335,500106406,משרד הרווחה/המשרד הראשי,סקר עוורים בעבודה,ירושלים,בנק ישראל,5,,9195021,,מאושר,4/24/2006
1915,511631764,"מ.ר.מ. מידע רכב ממוחשב בע""מ",פרטי העובדים בחברה,הוד השרון,החרש,36,7278,4527702,,מאושר,11/19/2002
2219,510928245,"ניסקו החזקות (1982) בע""מ","רשימת כ""א עפ""י נתוני לשכת השכר",תל אביב - יפו,הברזל,2,,6971002,כן,מאושר,11/25/2001
3290,511449738,"בול מטווחים בע""מ","בול מטווחים בע""מ",תל אביב,"ריב""ל",10,0,6777845,כן,מאושר,10/28/2001
3506,512032673,"כיד ערוץ הקניות בע""מ",עובדים,תל אביב - יפו,דרך בן צבי,2,,6818164,,מאושר,11/19/2002
3979,510564362,הולי ויוס בעמ,נתונים על עובדי החברה,הרצליה,ההגנה,10,2,4632570,,מותלה חוב,NULL
4487,520039660,"קבוצת א. דורי  בע""מ",נתוני עובדים,תל אביב - יפו,אלוני ניסים,10,,6291924,,מותלה חוב,NULL
